iter	Passed	Remaining
0	0	858
1	1	794
2	2	766
3	2	734
4	3	715
5	4	707
6	5	713
7	5	721
8	6	722
9	7	722
10	8	724
11	8	725
12	9	726
13	10	724
14	10	719
15	11	720
16	12	720
17	13	719
18	13	716
19	14	711
20	15	709
21	15	704
22	16	701
23	17	700
24	17	697
25	18	693
26	19	690
27	19	687
28	20	685
29	21	683
30	21	680
31	22	677
32	23	676
33	23	675
34	24	674
35	25	674
36	25	671
37	26	670
38	27	668
39	27	667
40	28	665
41	29	664
42	30	672
43	30	669
44	31	667
45	32	665
46	32	663
47	33	661
48	33	659
49	34	657
50	35	655
51	35	653
52	36	651
53	37	650
54	37	648
55	38	647
56	39	646
57	39	645
58	40	644
59	41	642
60	41	639
61	42	638
62	42	637
63	43	635
64	44	634
65	44	633
66	45	632
67	46	630
68	46	629
69	47	628
70	47	627
71	48	626
72	49	625
73	49	624
74	50	623
75	51	622
76	51	621
77	52	621
78	53	620
79	53	618
80	54	617
81	55	616
82	55	612
83	56	611
84	56	610
85	57	609
86	57	608
87	58	607
88	59	606
89	59	605
90	60	604
91	61	603
92	61	602
93	62	601
94	63	600
95	63	599
96	64	598
97	64	597
98	65	596
99	66	596
100	66	594
101	67	593
102	68	592
103	68	592
104	69	591
105	69	590
106	70	589
107	71	588
108	71	587
109	72	586
110	73	585
111	73	586
112	74	585
113	75	584
114	75	583
115	76	582
116	77	581
117	77	581
118	78	580
119	79	579
120	79	578
121	80	577
122	80	576
123	81	575
124	82	574
125	82	574
126	83	573
127	84	572
128	84	571
129	85	570
130	85	569
131	86	568
132	87	569
133	87	568
134	88	567
135	89	566
136	89	566
137	90	565
138	91	565
139	91	564
140	92	563
141	93	562
142	93	562
143	94	561
144	95	561
145	95	560
146	96	559
147	97	559
148	97	558
149	98	557
150	98	556
151	99	555
152	100	554
153	100	554
154	101	553
155	102	552
156	102	552
157	103	551
158	104	551
159	104	550
160	105	549
161	106	549
162	106	548
163	107	547
164	108	546
165	108	546
166	109	545
167	110	545
168	110	544
169	111	543
170	111	542
171	112	541
172	113	540
173	113	539
174	114	539
175	115	538
176	115	538
177	116	537
178	117	537
179	117	536
180	118	535
181	118	534
182	119	533
183	120	533
184	120	532
185	121	531
186	122	530
187	122	529
188	123	529
189	123	528
190	124	527
191	125	526
192	125	526
193	126	525
194	127	524
195	127	523
196	128	523
197	129	522
198	129	521
199	130	521
200	131	520
201	131	520
202	132	519
203	132	518
204	133	519
205	134	518
206	135	518
207	135	517
208	136	516
209	137	516
210	137	515
211	138	515
212	139	514
213	139	513
214	140	513
215	141	512
216	141	511
217	142	510
218	143	510
219	143	509
220	144	508
221	145	508
222	145	507
223	146	507
224	146	506
225	147	505
226	148	504
227	148	503
228	149	503
229	150	502
230	150	501
231	151	501
232	152	500
233	152	499
234	153	498
235	153	497
236	154	497
237	155	496
238	155	496
239	156	495
240	157	494
241	157	494
242	158	493
243	159	492
244	159	492
245	160	491
246	160	490
247	161	490
248	162	489
249	162	488
250	163	488
251	164	487
252	164	486
253	165	486
254	166	485
255	166	484
256	167	484
257	168	483
258	168	482
259	169	481
260	170	481
261	170	480
262	171	480
263	172	480
264	173	480
265	173	479
266	174	478
267	175	478
268	175	477
269	176	476
270	177	476
271	177	475
272	178	475
273	179	474
274	179	474
275	180	474
276	181	473
277	182	472
278	182	472
279	183	472
280	184	471
281	185	471
282	186	471
283	186	470
284	187	470
285	188	469
286	188	468
287	189	468
288	190	467
289	190	466
290	191	466
291	191	465
292	192	464
293	193	464
294	193	463
295	194	462
296	195	462
297	196	462
298	196	461
299	197	460
300	198	459
301	198	459
302	199	459
303	200	458
304	200	457
305	201	457
306	202	457
307	203	456
308	203	455
309	204	455
310	205	454
311	205	453
312	206	453
313	207	452
314	207	452
315	208	451
316	209	450
317	210	450
318	210	450
319	211	449
320	212	448
321	212	448
322	213	447
323	214	446
324	214	446
325	215	445
326	216	444
327	216	444
328	217	443
329	218	442
330	218	442
331	219	441
332	220	440
333	220	440
334	221	439
335	222	439
336	222	438
337	223	437
338	224	436
339	224	436
340	225	435
341	225	434
342	226	434
343	227	433
344	227	432
345	228	432
346	229	431
347	229	430
348	230	430
349	231	429
350	232	429
351	232	428
352	233	427
353	233	426
354	234	426
355	235	425
356	235	424
357	236	424
358	237	423
359	238	423
360	238	422
361	239	421
362	239	421
363	240	420
364	241	419
365	242	419
366	242	418
367	243	417
368	243	417
369	244	416
370	245	415
371	245	414
372	246	414
373	247	413
374	247	412
375	248	412
376	248	411
377	249	410
378	250	409
379	250	409
380	251	408
381	252	407
382	252	407
383	253	406
384	254	405
385	254	405
386	255	404
387	255	403
388	256	402
389	257	402
390	257	401
391	258	400
392	258	400
393	259	399
394	260	398
395	260	398
396	261	397
397	262	396
398	262	395
399	263	395
400	264	394
401	264	393
402	265	393
403	266	392
404	266	391
405	267	391
406	268	390
407	268	389
408	269	389
409	269	388
410	270	387
411	271	387
412	271	386
413	272	385
414	273	385
415	273	384
416	274	383
417	275	383
418	275	382
419	276	381
420	277	381
421	277	380
422	278	379
423	279	379
424	279	378
425	280	378
426	281	377
427	281	376
428	282	376
429	283	375
430	283	374
431	284	374
432	285	373
433	285	372
434	286	372
435	287	371
436	287	370
437	288	370
438	290	370
439	290	370
440	291	369
441	292	368
442	292	368
443	293	367
444	294	366
445	294	366
446	295	365
447	296	364
448	296	364
449	297	363
450	297	362
451	298	362
452	299	361
453	299	360
454	300	359
455	301	359
456	301	358
457	302	357
458	302	357
459	303	356
460	304	355
461	304	355
462	305	354
463	306	353
464	306	352
465	307	352
466	307	351
467	308	350
468	309	349
469	309	349
470	310	348
471	310	347
472	311	347
473	312	346
474	312	345
475	313	344
476	313	344
477	314	343
478	315	342
479	315	341
480	316	341
481	316	340
482	317	339
483	318	339
484	318	338
485	319	337
486	319	336
487	320	336
488	321	335
489	321	334
490	322	333
491	322	333
492	323	332
493	323	331
494	324	331
495	325	330
496	325	329
497	326	328
498	326	328
499	327	327
500	328	326
501	328	326
502	329	325
503	329	324
504	330	323
505	331	323
506	331	322
507	332	321
508	332	321
509	333	320
510	334	319
511	334	318
512	335	318
513	335	317
514	336	316
515	337	316
516	337	315
517	338	314
518	339	314
519	339	313
520	340	312
521	340	312
522	341	311
523	342	310
524	342	310
525	343	309
526	343	308
527	344	307
528	345	307
529	345	306
530	346	305
531	346	305
532	347	304
533	348	303
534	348	303
535	349	302
536	349	301
537	350	300
538	351	300
539	351	299
540	352	298
541	352	298
542	353	297
543	354	296
544	354	296
545	355	295
546	355	294
547	356	293
548	356	293
549	357	292
550	358	291
551	358	291
552	359	290
553	360	289
554	360	289
555	361	288
556	362	288
557	363	287
558	364	287
559	364	286
560	366	286
561	367	286
562	368	285
563	368	285
564	369	284
565	369	283
566	370	282
567	371	282
568	371	281
569	372	280
570	372	280
571	373	279
572	374	278
573	374	278
574	375	277
575	375	276
576	376	276
577	377	275
578	377	274
579	378	273
580	378	273
581	379	272
582	380	271
583	380	271
584	381	270
585	381	269
586	382	269
587	383	268
588	384	268
589	385	267
590	385	267
591	386	266
592	387	265
593	387	265
594	389	264
595	389	264
596	390	263
597	390	262
598	391	262
599	392	261
600	392	260
601	393	260
602	394	259
603	395	258
604	395	258
605	396	257
606	397	257
607	397	256
608	398	255
609	398	255
610	399	254
611	400	254
612	401	253
613	402	252
614	403	252
615	404	252
616	405	251
617	405	250
618	406	250
619	407	249
620	407	248
621	408	248
622	409	247
623	409	246
624	410	246
625	411	245
626	411	245
627	412	244
628	413	243
629	413	243
630	414	242
631	415	241
632	415	241
633	416	240
634	417	239
635	417	239
636	418	238
637	419	237
638	419	237
639	420	236
640	421	235
641	421	235
642	422	234
643	422	233
644	423	233
645	424	232
646	424	231
647	425	231
648	426	230
649	426	229
650	427	229
651	428	228
652	428	227
653	429	227
654	430	226
655	430	225
656	431	225
657	432	224
658	432	223
659	433	223
660	434	222
661	434	222
662	435	221
663	436	220
664	436	220
665	437	219
666	438	218
667	438	218
668	439	217
669	439	216
670	440	215
671	441	215
672	441	214
673	442	213
674	442	213
675	443	212
676	444	211
677	444	211
678	445	210
679	445	209
680	446	209
681	446	208
682	447	207
683	448	207
684	448	206
685	449	205
686	449	205
687	450	204
688	451	203
689	451	202
690	452	202
691	452	201
692	453	200
693	454	200
694	454	199
695	455	198
696	455	198
697	456	197
698	456	196
699	457	196
700	458	195
701	458	194
702	459	194
703	459	193
704	460	192
705	461	192
706	461	191
707	462	190
708	462	189
709	463	189
710	464	188
711	464	187
712	465	187
713	465	186
714	466	185
715	467	185
716	467	184
717	468	183
718	468	183
719	469	182
720	469	181
721	470	181
722	471	180
723	471	179
724	472	179
725	472	178
726	473	177
727	473	177
728	474	176
729	475	175
730	475	175
731	476	174
732	476	173
733	477	173
734	478	172
735	479	171
736	479	171
737	480	170
738	481	170
739	482	169
740	482	168
741	483	168
742	484	167
743	485	166
744	486	166
745	486	165
746	487	165
747	488	164
748	489	163
749	489	163
750	490	162
751	491	161
752	491	161
753	493	160
754	494	160
755	494	159
756	495	159
757	496	158
758	496	157
759	497	157
760	498	156
761	498	155
762	499	155
763	500	154
764	500	153
765	501	153
766	502	152
767	502	151
768	503	151
769	504	150
770	504	149
771	505	149
772	505	148
773	506	147
774	507	147
775	507	146
776	508	145
777	509	145
778	509	144
779	510	143
780	511	143
781	511	142
782	512	141
783	512	141
784	513	140
785	514	139
786	514	139
787	515	138
788	516	137
789	516	137
790	517	136
791	517	136
792	518	135
793	519	134
794	519	134
795	520	133
796	521	132
797	521	132
798	522	131
799	522	130
800	523	130
801	524	129
802	524	128
803	525	128
804	526	127
805	526	126
806	527	126
807	527	125
808	528	124
809	529	124
810	529	123
811	530	122
812	530	122
813	531	121
814	532	120
815	532	120
816	533	119
817	534	118
818	534	118
819	535	117
820	535	116
821	536	116
822	537	115
823	537	114
824	538	114
825	539	113
826	539	112
827	540	112
828	541	111
829	541	110
830	542	110
831	543	109
832	543	108
833	544	108
834	544	107
835	545	107
836	546	106
837	546	105
838	547	105
839	547	104
840	548	103
841	549	103
842	549	102
843	550	101
844	551	101
845	551	100
846	552	99
