iter	Passed	Remaining
0	1	1289
1	2	1312
2	3	1290
3	4	1209
4	5	1175
5	7	1175
6	8	1218
7	11	1376
8	12	1339
9	13	1310
10	14	1330
11	15	1296
12	16	1269
13	17	1248
14	18	1225
15	19	1204
16	20	1198
17	21	1185
18	22	1171
19	23	1157
20	24	1145
21	26	1159
22	27	1178
23	28	1174
24	30	1173
25	31	1165
26	32	1164
27	33	1158
28	34	1149
29	35	1140
30	36	1129
31	36	1118
32	37	1107
33	39	1114
34	40	1104
35	40	1097
36	41	1089
37	42	1080
38	43	1074
39	44	1074
40	45	1070
41	46	1062
42	47	1055
43	48	1048
44	49	1043
45	50	1041
46	51	1051
47	52	1047
48	53	1042
49	54	1039
50	55	1035
51	56	1032
52	57	1028
53	58	1024
54	59	1018
55	60	1013
56	60	1008
57	61	1003
58	62	1000
59	63	998
60	64	993
61	65	990
62	66	987
63	67	986
64	68	984
65	69	982
66	70	980
67	71	976
68	72	972
69	72	968
70	73	965
71	74	961
72	75	959
73	76	955
74	77	952
75	77	948
76	78	945
77	79	942
78	80	939
79	81	940
80	82	938
81	83	934
82	83	927
83	84	925
84	85	922
85	86	919
86	87	919
87	88	917
88	89	914
89	90	912
90	91	909
91	91	907
92	92	905
93	94	906
94	94	904
95	95	902
96	96	901
97	97	898
98	98	896
99	99	895
100	100	893
101	101	890
102	101	888
103	102	886
104	103	884
105	104	883
106	105	883
107	106	882
108	107	879
109	108	877
110	109	875
111	110	875
112	111	874
113	112	874
114	113	872
115	114	871
116	115	868
117	115	866
118	116	864
119	117	862
120	118	861
121	119	859
122	120	858
123	121	857
124	122	856
125	123	855
126	124	852
127	125	852
128	126	850
129	126	848
130	127	846
131	128	845
132	129	843
133	130	842
134	131	840
135	132	839
136	133	838
137	134	837
138	134	835
139	135	834
140	136	832
141	137	829
142	138	827
143	138	826
144	140	825
145	140	824
146	141	823
147	142	822
148	143	822
149	144	821
150	146	821
151	146	819
152	147	818
153	149	818
154	149	817
155	150	815
156	151	814
157	152	812
158	153	810
159	154	810
160	154	807
161	155	805
162	156	804
163	157	803
164	158	803
165	159	802
166	160	800
167	161	799
168	162	799
169	164	801
170	165	803
171	166	802
172	167	802
173	168	800
174	169	799
175	170	799
176	171	799
177	172	798
178	174	798
179	174	796
180	176	796
181	177	796
182	178	794
183	178	793
184	179	791
185	180	789
186	181	788
187	182	788
188	184	790
189	185	788
190	185	787
191	186	786
192	187	784
193	188	783
194	189	782
195	190	781
196	191	779
197	192	778
198	192	776
199	193	775
200	194	774
201	195	774
202	196	772
203	197	770
204	198	770
205	199	768
206	200	767
207	201	767
208	202	765
209	203	764
210	204	763
211	205	762
212	205	760
213	206	760
214	208	759
215	208	758
216	209	756
217	210	755
218	211	753
219	212	753
220	213	752
221	214	751
222	215	750
223	216	748
224	216	747
225	217	746
226	218	745
227	219	744
228	220	743
229	221	741
230	222	740
231	223	739
232	224	737
233	225	737
234	226	736
235	227	735
236	228	734
237	228	732
238	229	731
239	230	730
240	231	729
241	232	728
242	233	727
243	234	725
244	235	724
245	235	723
246	236	721
247	237	720
248	238	719
249	239	719
250	240	718
251	241	716
252	242	715
253	243	714
254	244	713
255	245	712
256	245	711
257	246	709
258	247	708
259	248	707
260	249	705
261	250	704
262	251	704
263	252	702
264	253	701
265	253	700
266	254	699
267	255	697
268	256	697
269	257	696
270	258	694
271	259	693
272	259	691
273	260	690
274	261	688
275	262	687
276	263	686
277	264	685
278	264	684
279	265	682
280	266	681
281	267	680
282	268	679
283	269	678
284	270	677
285	270	676
286	271	674
287	272	673
288	273	672
289	274	671
290	275	670
291	276	669
292	276	668
293	277	667
294	278	665
295	279	664
296	280	663
297	281	662
298	282	661
299	282	660
300	283	658
301	284	657
302	285	656
303	286	655
304	286	653
305	287	652
306	288	651
307	289	650
308	290	649
309	291	648
310	292	647
311	292	645
312	293	644
313	294	643
314	295	642
315	296	641
316	297	641
317	298	640
318	299	639
319	300	638
320	301	637
321	302	636
322	303	636
323	304	635
324	305	634
325	306	633
326	307	632
327	308	631
328	309	630
329	310	629
330	310	628
331	311	627
332	312	626
333	313	625
334	314	623
335	315	622
336	315	621
337	316	620
338	317	619
339	318	618
340	319	616
341	319	615
342	320	614
343	321	612
344	322	611
345	323	610
346	324	610
347	325	609
348	325	607
349	326	606
